fare_id,price,currency_type,payment_method,transfers,agency_id
195,1.00,EUR,0,0,25
196,0.75,EUR,0,0,25
197,0.80,EUR,0,0,25
198,0.55,EUR,0,0,25
199,0.45,EUR,0,0,25
200,1.05,EUR,0,0,25
201,1.45,EUR,0,0,25
202,1.20,EUR,0,0,25
203,0.50,EUR,0,0,25
204,1.40,EUR,0,0,25
205,0.60,EUR,0,0,25
206,1.50,EUR,0,0,25
207,1.85,EUR,0,0,25
208,1.90,EUR,0,0,25
209,1.70,EUR,0,0,25
210,1.75,EUR,0,0,25
211,1.10,EUR,0,0,25
212,0.70,EUR,0,0,25
213,1.60,EUR,0,0,25
214,1.55,EUR,0,0,25
215,0.90,EUR,0,0,25
216,0.65,EUR,0,0,25
217,1.15,EUR,0,0,25
218,1.25,EUR,0,0,25
219,1.35,EUR,0,0,25
220,0.95,EUR,0,0,25
221,1.80,EUR,0,0,25
222,1.65,EUR,0,0,25
223,2.30,EUR,0,0,25
224,2.00,EUR,0,0,25
225,2.20,EUR,0,0,25
226,2.15,EUR,0,0,25
227,1.30,EUR,0,0,25
228,1.95,EUR,0,0,25
229,0.95,EUR,0,0,100046
230,1.10,EUR,0,0,100046
231,1.90,EUR,0,0,100046
232,2.80,EUR,0,0,100046
233,1.50,EUR,0,0,100046
234,2.45,EUR,0,0,100046
235,1.85,EUR,0,0,100046
236,1.65,EUR,0,0,100046
237,1.95,EUR,0,0,100046
238,2.35,EUR,0,0,100046
239,1.80,EUR,0,0,100046
240,1.70,EUR,0,0,100046
241,2.65,EUR,0,0,100046
242,2.25,EUR,0,0,100046
243,2.05,EUR,0,0,100046
244,2.00,EUR,0,0,100046
245,2.15,EUR,0,0,100046
246,2.20,EUR,0,0,100046
247,2.70,EUR,0,0,100046
248,2.50,EUR,0,0,100046
249,2.10,EUR,0,0,100046
250,2.60,EUR,0,0,100046
251,1.75,EUR,0,0,100046
252,2.85,EUR,0,0,100046
253,2.95,EUR,0,0,100046
254,2.75,EUR,0,0,100046
255,2.90,EUR,0,0,100046
256,2.55,EUR,0,0,100046
257,2.40,EUR,0,0,100046
258,0.60,EUR,0,0,586
259,0.65,EUR,0,0,586
260,0.80,EUR,0,0,586
261,1.65,EUR,0,0,586
262,0.90,EUR,0,0,586
263,1.35,EUR,0,0,586
264,1.45,EUR,0,0,586
265,1.30,EUR,0,0,586
266,1.00,EUR,0,0,586
267,1.25,EUR,0,0,586
268,0.85,EUR,0,0,586
269,1.80,EUR,0,0,586
270,0.75,EUR,0,0,586
271,2.10,EUR,0,0,586
272,1.55,EUR,0,0,586
273,1.15,EUR,0,0,586
274,1.85,EUR,0,0,586
275,1.90,EUR,0,0,586
276,1.75,EUR,0,0,586
277,1.05,EUR,0,0,586
278,1.10,EUR,0,0,586
279,1.60,EUR,0,0,586
280,1.70,EUR,0,0,586
281,2.70,EUR,0,0,60
282,2.60,EUR,0,0,60
283,2.95,EUR,0,0,60
284,2.80,EUR,0,0,60
285,3.00,EUR,0,0,60
286,2.90,EUR,0,0,60
287,2.75,EUR,0,0,60
288,2.85,EUR,0,0,60
289,2.70,EUR,0,0,100047
290,0.55,EUR,0,0,60
291,3.35,EUR,0,0,60
292,4.40,EUR,0,0,60
293,3.05,EUR,0,0,60
294,4.15,EUR,0,0,60
295,3.30,EUR,0,0,60
296,4.10,EUR,0,0,60
297,3.25,EUR,0,0,60
298,3.10,EUR,0,0,60
299,3.60,EUR,0,0,60
300,3.15,EUR,0,0,60
301,3.50,EUR,0,0,60
302,3.20,EUR,0,0,60
303,3.55,EUR,0,0,60
304,3.45,EUR,0,0,60
305,3.95,EUR,0,0,60
306,3.80,EUR,0,0,60
307,3.90,EUR,0,0,60
308,3.40,EUR,0,0,60
309,3.75,EUR,0,0,60
310,3.85,EUR,0,0,60
311,3.65,EUR,0,0,60
312,4.00,EUR,0,0,60
313,3.70,EUR,0,0,60
314,4.05,EUR,0,0,60
315,4.35,EUR,0,0,60
316,4.20,EUR,0,0,60
317,1.55,EUR,0,0,71
318,1.95,EUR,0,0,71
319,1.85,EUR,0,0,71
320,2.05,EUR,0,0,71
321,1.75,EUR,0,0,71
322,1.65,EUR,0,0,71
323,1.60,EUR,0,0,99
324,0.65,EUR,0,0,317
325,0.75,EUR,0,0,317
326,0.55,EUR,0,0,317
327,0.45,EUR,0,0,317
328,0.35,EUR,0,0,317
329,1.15,EUR,0,0,317
330,0.95,EUR,0,0,317
331,0.85,EUR,0,0,317
332,0.40,EUR,0,0,317
333,1.35,EUR,0,0,317
334,1.05,EUR,0,0,317
335,2.30,EUR,0,0,99
336,99.90,EUR,0,0,60
337,2.25,EUR,0,0,71
338,2.70,EUR,0,0,71
339,2.60,EUR,0,0,71
340,2.50,EUR,0,0,71
341,2.80,EUR,0,0,71
342,2.90,EUR,0,0,71
343,3.00,EUR,0,0,71
344,3.40,EUR,0,0,71
345,3.10,EUR,0,0,71
346,3.50,EUR,0,0,71
347,3.20,EUR,0,0,71
348,3.30,EUR,0,0,71
349,3.60,EUR,0,0,71
350,1.11,EUR,0,0,25
351,2.10,EUR,0,0,25
352,2.25,EUR,0,0,25
353,3.00,EUR,0,0,99
354,2.15,EUR,0,0,219
355,2.45,EUR,0,0,219
356,2.65,EUR,0,0,219
357,1.90,EUR,0,0,219
358,2.35,EUR,0,0,219
359,1.45,EUR,0,0,317
360,1.95,EUR,0,0,317
361,1.25,EUR,0,0,317
362,1.55,EUR,0,0,317
363,1.85,EUR,0,0,317
364,1.65,EUR,0,0,317
365,5.75,EUR,0,0,71
366,4.15,EUR,0,0,71
367,3.85,EUR,0,0,71
368,5.10,EUR,0,0,71
369,6.05,EUR,0,0,71
370,5.45,EUR,0,0,71
371,4.45,EUR,0,0,71
372,7.05,EUR,0,0,71
373,8.30,EUR,0,0,71
374,8.00,EUR,0,0,71
375,9.25,EUR,0,0,71
376,4.80,EUR,0,0,71
377,8.65,EUR,0,0,71
378,8.95,EUR,0,0,71
379,6.40,EUR,0,0,71
380,2.55,EUR,0,0,71
381,7.35,EUR,0,0,71
382,6.70,EUR,0,0,71
383,9.60,EUR,0,0,71
384,9.90,EUR,0,0,71
385,7.65,EUR,0,0,71
386,3.35,EUR,0,0,317
387,3.95,EUR,0,0,317
388,2.50,EUR,0,0,317
389,2.45,EUR,0,0,317
390,2.90,EUR,0,0,317
391,1.75,EUR,0,0,317
392,3.60,EUR,0,0,317
393,3.50,EUR,0,0,317
394,3.05,EUR,0,0,317
395,2.40,EUR,0,0,317
396,4.85,EUR,0,0,317
397,2.35,EUR,0,0,317
398,2.55,EUR,0,0,317
399,5.35,EUR,0,0,317
400,4.90,EUR,0,0,317
401,4.70,EUR,0,0,317
402,3.90,EUR,0,0,317
403,5.30,EUR,0,0,317
404,2.95,EUR,0,0,317
405,2.25,EUR,0,0,317
406,3.80,EUR,0,0,317
407,3.85,EUR,0,0,317
408,2.80,EUR,0,0,317
409,3.30,EUR,0,0,317
410,5.70,EUR,0,0,317
411,3.00,EUR,0,0,317
412,4.10,EUR,0,0,317
413,2.65,EUR,0,0,317
414,4.30,EUR,0,0,317
415,3.40,EUR,0,0,317
416,2.85,EUR,0,0,317
417,3.45,EUR,0,0,317
418,2.60,EUR,0,0,317
419,5.15,EUR,0,0,317
420,2.70,EUR,0,0,317
421,5.05,EUR,0,0,317
422,3.75,EUR,0,0,317
423,3.20,EUR,0,0,317
424,4.05,EUR,0,0,317
425,4.50,EUR,0,0,317
426,2.75,EUR,0,0,317
427,3.15,EUR,0,0,317
428,4.20,EUR,0,0,317
429,5.10,EUR,0,0,317
430,3.10,EUR,0,0,317
431,4.65,EUR,0,0,317
432,2.05,EUR,0,0,317
433,2.15,EUR,0,0,317
434,4.80,EUR,0,0,317
435,5.55,EUR,0,0,317
436,4.25,EUR,0,0,317
437,4.40,EUR,0,0,317
438,3.25,EUR,0,0,317
439,3.70,EUR,0,0,317
440,4.75,EUR,0,0,317
441,5.25,EUR,0,0,317
442,4.00,EUR,0,0,317
443,4.95,EUR,0,0,317
444,5.40,EUR,0,0,317
445,4.45,EUR,0,0,317
446,4.35,EUR,0,0,317
447,3.55,EUR,0,0,317
448,4.15,EUR,0,0,317
449,3.65,EUR,0,0,317
450,5.00,EUR,0,0,317
451,4.55,EUR,0,0,317
452,4.60,EUR,0,0,317
453,0.00,EUR,0,0,317
454,5.45,EUR,0,0,317
455,2.80,EUR,0,0,25
456,3.25,EUR,0,0,25
457,2.50,EUR,0,0,25
458,2.95,EUR,0,0,25
459,2.35,EUR,0,0,25
460,2.65,EUR,0,0,25
461,3.15,EUR,0,0,25
462,2.45,EUR,0,0,25
463,3.40,EUR,0,0,25
464,2.60,EUR,0,0,25
465,2.90,EUR,0,0,25
466,2.70,EUR,0,0,25
467,2.75,EUR,0,0,25
468,3.10,EUR,0,0,25
469,2.40,EUR,0,0,25
